"dataset";"datasetKey";"trust_level";"nOcc";"nSp"
"NSW BioNet Atlas";"0645ccdb-e001-4ab0-9729-51f1755e007e";"H";190274;257
"Victorian Biodiversity Atlas";"37beb6ea-e591-41e3-b781-e384250dc42c";"4";128363;125
"SA Flora (BDBSA)";"2a513d16-f4ce-4252-974f-2486ce70b788";"3";71953;139
"PERTH AVH data";"5a3b50fa-c882-4129-9405-38e54c0a73f3";"4";50076;976
"NSW AVH data";"07a54454-87c7-4e1e-b2ba-88a9d98d534b";"4";39942;947
"MEL AVH data";"4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4";"4";34520;995
"Flora Atlas N.T.";"7565c55d-9dc8-442d-95cf-19d5ebb3d2b0";"H";32984;155
"Tasmanian Natural Values Atlas";"2985efd1-45b1-46de-b6db-0465d2834a5a";NA;29620;29
"CANB AVH data";"15738fee-78b1-4751-bcc1-cbf7139c68de";"4";28772;987
"Australasian Virtual Herbarium (AVH) data from the State Herbarium of South Australia (AD)";"9360958c-3534-4d53-874e-4a952eea3e6d";"4";27835;780
"BRI AVH data";"5d7f5915-0561-4107-aa20-20a4267c203f";"4";20567;283
"Biodiversidad asociada al plan de manejo ambiental del embalse de Tominé, Cundinamarca";"c99d545d-7218-4a6b-845f-a3c75e7711b3";"4";15202;3
"DNA AVH data";"270c3da6-45ad-4272-804b-33ac7ee33421";"4";13810;457
"Sightings Map of Invasive Plants in Portugal";"feb41318-374b-4ed6-b61e-0369993abedc";"3";8901;8
"Pl@ntNet automatically identified occurrences";"14d5676a-2c54-4f94-9023-1e8dcd822aa0";"2";6257;12
"NE AVH data";"8bc47548-aaed-4ad6-96d0-85c97955a81e";"4";4324;368
"CNS AVH data";"2651f9da-9999-4cd2-9f17-293a977ffe58";"4";3349;274
"WildNet - Queensland Wildlife Data";"e4473544-f4cd-4429-b791-39d6e1fdb0a4";NA;3293;153
"HO AVH data";"42301ebf-d36a-4e4f-a061-d37d778c2365";"4";3002;286
"Azorean Biodiversity Portal";"24baf0da-60a9-4a13-99d7-a8c860c3cb30";"4";2357;2
"INPN - Données flore des CBN agrégées par la FCBN";"75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d";"4";1527;8
"Naturalis Biodiversity Center (NL) - Botany";"15f819bd-6612-4447-854b-14d12ee1022d";"4";1305;351
"CABI Africa Invasive and Alien Species data";"23ec2d04-c0eb-4ca4-afb8-a8710e38f641";"4";1078;6
"Pl@ntNet observations";"7a3679ef-5582-4aaa-81f0-8c2545cafc81";"3";1063;18
"Flora-On: occurrence data of the flora of mainland Portugal";"7fe3eb5c-42bd-49d7-a30b-82c353ef6575";"3";923;9
"PRECIS";"1881d048-04f9-4bc2-b7c8-931d1659a354";"4";640;32
"naturgucker";"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"1";375;25
"";"aab0cf80-0c64-11dd-84d1-b8a03c50a862";NA;315;148
"Tropicos Specimen Data";"7bd65a7a-f762-11e1-a439-00145eb45e9a";"4";270;127
"UKSBA Cyprus Plant Records 2018";"2ae2997e-c6ff-40b1-917f-93227768da6f";"4";235;1
"Observation.org, Nature data from around the World";"8a863029-f435-446a-821e-275f4f641165";"H";220;6
"";"834c9918-f762-11e1-a439-00145eb45e9a";NA;172;63
"Biodiversity4all Research-Grade Observations";"2bf7b2c0-34dc-4458-8ee4-4f99fac03b33";"3";159;8
"UKSBA Cyprus - Quadrats 2015-2017";"6b3902aa-7819-47d2-83b2-bb021611b900";"4";152;1
"";"cd6e21c8-9e8a-493a-8a76-fbf7862069e5";NA;147;135
"Vascular plants";"d415c253-4d61-4459-9d25-4015b9084fb0";NA;132;67
"";"f577c9f3-ae71-4278-b6bf-512ba1dfaa21";NA;118;88
"Swiss National Databank of Vascular Plants";"83fdfd3d-3a25-4705-9fbe-3db1d1892b13";"4";102;1
"The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)";"b5cdf794-8fa4-4a85-8b26-755d087bf531";"4";98;16
"Israel Nature and Parks Authority";"8582b50a-f762-11e1-a439-00145eb45e9a";"H";60;1
"";"f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7";NA;49;25
"";"7f5260c2-f762-11e1-a439-00145eb45e9a";NA;46;33
"Wikiplantbase #Toscana";"5445131a-b491-44d8-9974-3ec52bde0c47";"4";38;5
"RB - Rio de Janeiro Botanical Garden Herbarium Collection";"4300f8d5-1ae5-49e5-a101-63894b005868";"4";31;9
"Wikiplantbase #Liguria";"e49a712e-ec7b-4e7d-b916-8dcabf589979";"4";25;2
"";"7e380070-f762-11e1-a439-00145eb45e9a";NA;24;11
"Moscow University Herbarium (MW)";"902c8fe7-8f38-45b0-854e-c324fed36303";"4";24;17
"UKSBA Cyprus - Habitat Samples, 2019";"a5faa00c-028b-4a7d-9dda-e5c39a9678f7";"4";23;1
"Wikiplantbase Sicilia";"188fcdd5-c16d-4f09-9f76-fed7193ce3ab";"4";23;2
"IAC - Herbário do Instituto Agronômico de Campinas";"1064b787-c882-493e-b17d-4ffba363b776";"4";22;8
"Wikiplantbase #Italia";"bf97ab5c-c909-4d0b-ae3c-7d34775770f9";"4";19;1
"";"c1492854-5d15-40e9-9ee7-24a18ac05112";NA;18;1
"Plant Specimen in Yunnan, China from Herbarium (PE),Institute of Botany, Chinese Academy of Sciences";"1b412457-43cf-4a6f-b5c2-7acf01be5977";"4";18;3
"BioGIS - Vascular plants - A. Danin's grid database";"863c1269-5f38-4862-a161-ea3a50654d4f";"H";13;1
"";"a185d0c4-1a12-45c1-a729-2a7b058b528d";NA;12;4
"FLOTROP, a massive contribution to plant diversity data for open ecosystems in Tropical Africa.";"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e";"H";9;1
"HUEFS - Herbario da Universidade Estadual de Feira de Santana";"2e684fd6-09e2-4661-910a-0a188b610c04";"4";9;7
"Wikiplantbase #Sardegna";"ea04653c-58f5-4f14-9ed0-39f85871f1db";"4";8;3
"Royal Botanic Garden Edinburgh Herbarium (E)";"bf2a4bf0-5f31-11de-b67e-b8a03c50a862";"4";7;6
"";"6df67f83-b615-448c-96d2-d315655e3e04";NA;6;2
"Bioversity Collecting Mission Database";"33795d9d-3f94-4b0e-a2f6-d3a03cfce7aa";"H";5;1
"CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul";"ec20771d-5c61-409f-825c-3eea4118c437";"4";4;2
"UEC - Herbário da Universidade Estadual de Campinas";"7741a517-ab3d-4b85-ae58-56322e44c8ce";"4";3;2
"";"833db434-f762-11e1-a439-00145eb45e9a";NA;1;1
"iNaturalist Research-grade Observations";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"3";NA;NA
